ts,fps,goodput_mbps,latency_ms,cpu_pct,mem_mb,temp_c,drops,tag_failures
2025-11-02T01:52:26.645375314Z,0.0,0.0,0.0,0.0,619.75,46.3,0,0
2025-11-02T01:52:26.896007929Z,0.0,0.0,0.0,9.233822,624.96875,47.4,0,0
2025-11-02T01:52:27.145561266Z,0.0,0.0,0.0,0.0,624.96875,46.85,0,0
2025-11-02T01:52:27.396105872Z,0.0,0.0,0.0,0.0,625.640625,47.4,0,0
2025-11-02T01:52:27.645608545Z,0.0,0.0,0.0,0.0,625.640625,47.4,0,0
2025-11-02T01:52:27.896078155Z,0.0,0.0,0.0,0.0,625.640625,46.85,0,0
2025-11-02T01:52:28.145574951Z,0.0,0.0,0.0,0.0,625.640625,46.3,0,0
2025-11-02T01:52:28.396051062Z,0.0,0.0,0.0,0.9615385,625.609375,45.75,0,0
2025-11-02T01:52:28.645552087Z,0.0,0.0,0.0,0.0,625.609375,46.85,0,0
2025-11-02T01:52:28.896015711Z,0.0,0.0,0.0,0.0,625.609375,47.4,0,0
2025-11-02T01:52:29.145479035Z,0.0,0.0,0.0,0.0,625.609375,46.85,0,0
2025-11-02T01:52:29.396001429Z,0.0,0.0,0.0,0.0,624.140625,46.3,0,0
2025-11-02T01:52:29.645527899Z,0.0,0.0,0.0,0.0,623.421875,45.75,0,0
2025-11-02T01:52:29.896001513Z,0.0,0.0,0.0,0.0,623.421875,46.85,0,0
2025-11-02T01:52:30.145485970Z,0.0,0.0,0.0,0.0,623.421875,46.85,0,0
2025-11-02T01:52:30.395983253Z,0.0,0.0,0.0,0.0,623.421875,45.2,0,0
2025-11-02T01:52:30.645477334Z,0.0,0.0,0.0,0.0,623.3125,46.85,0,0
2025-11-02T01:52:30.895939807Z,0.0,0.0,0.0,0.0,623.3125,46.85,0,0
2025-11-02T01:52:31.145429684Z,0.0,0.0,0.0,0.0,623.3125,47.4,0,0
2025-11-02T01:52:31.395878594Z,0.0,0.0,0.0,0.0,623.3125,46.85,0,0
2025-11-02T01:52:31.645396743Z,0.0,0.0,0.0,0.0,623.421875,47.4,0,0
