ts,role,fps,goodput_mbps,latency_ms_p50,latency_ms_p95,cpu_pct,mem_mb,temp_c,drops,tag_fail
1761978720.953659507Z,sender,16.00,1.29,NaN,NaN,9.8,653.7,63.3,0,0
1761978721.204726743Z,receiver,12.00,0.90,0.16,0.31,6.9,651.6,63.3,0,0
1761978721.205488746Z,sender,12.00,0.90,NaN,NaN,6.9,651.6,63.3,0,0
1761978721.455146737Z,receiver,16.00,1.31,0.16,0.31,8.0,650.9,63.3,0,0
1761978721.455818313Z,sender,16.00,1.31,NaN,NaN,8.0,650.9,63.3,0,0
1761978721.705616768Z,receiver,16.00,1.19,0.16,0.31,5.1,650.9,63.9,0,0
1761978721.706156807Z,sender,16.00,1.19,NaN,NaN,5.1,650.9,63.9,0,0
1761978721.955984262Z,receiver,16.00,1.33,0.16,0.28,5.1,651.1,63.9,0,0
1761978721.956468522Z,sender,16.00,1.33,NaN,NaN,5.1,651.1,63.9,0,0
1761978722.206378237Z,receiver,12.00,0.96,0.16,0.28,6.9,648.5,63.3,0,0
1761978722.207963705Z,sender,12.00,0.96,NaN,NaN,6.9,648.5,63.3,0,0
1761978722.456794712Z,receiver,16.00,1.28,0.16,0.28,6.9,648.1,63.3,0,0
1761978722.458338050Z,sender,16.00,1.28,NaN,NaN,7.0,648.1,63.3,0,0
1761978722.707163021Z,receiver,16.00,1.90,0.16,0.31,7.1,648.3,63.9,0,0
1761978722.708706470Z,sender,16.00,1.90,NaN,NaN,7.0,648.3,63.9,0,0
1761978722.957529885Z,receiver,16.00,0.87,0.16,0.31,8.8,648.5,63.3,0,0
1761978722.959040093Z,sender,16.00,0.87,NaN,NaN,8.8,648.5,63.3,0,0
1761978723.207924026Z,receiver,12.00,0.90,0.15,0.31,6.9,645.1,63.9,0,0
1761978723.209456735Z,sender,16.00,1.20,NaN,NaN,6.9,644.9,63.9,0,0
1761978723.458286854Z,receiver,16.00,1.20,0.15,0.28,5.1,644.9,63.3,0,0
1761978723.459855229Z,sender,12.00,0.90,NaN,NaN,5.1,644.9,63.3,0,0
1761978723.708663347Z,receiver,16.00,1.22,0.15,0.28,6.1,646.1,62.8,0,0
1761978723.710206537Z,sender,16.00,1.22,NaN,NaN,6.1,646.1,62.8,0,0
1761978723.959029656Z,receiver,16.00,1.28,0.15,0.28,7.9,645.1,63.9,0,0
1761978723.960562290Z,sender,16.00,1.28,NaN,NaN,7.9,645.1,63.9,0,0
1761978724.210555375Z,receiver,16.00,1.39,0.15,0.28,6.9,644.2,63.3,0,0
1761978724.210997784Z,sender,16.00,1.39,NaN,NaN,7.0,644.2,63.3,0,0
1761978724.460931054Z,receiver,12.00,1.04,0.15,0.28,6.9,644.1,63.9,0,0
1761978724.461408074Z,sender,12.00,1.04,NaN,NaN,6.9,644.1,63.9,0,0
1761978724.711287863Z,receiver,16.00,1.30,0.15,0.28,6.1,644.3,63.3,0,0
1761978724.711742401Z,sender,16.00,1.30,NaN,NaN,6.1,644.3,63.3,0,0
1761978724.961776246Z,receiver,16.00,1.29,0.15,0.28,7.9,644.3,64.4,0,0
1761978724.962103728Z,sender,16.00,1.29,NaN,NaN,7.9,644.3,64.4,0,0
1761978725.212389574Z,receiver,16.00,1.28,0.15,0.28,8.8,640.0,64.4,0,0
1761978725.212655686Z,sender,16.00,1.28,NaN,NaN,8.7,640.0,64.4,0,0
1761978725.462997272Z,receiver,12.00,0.94,0.15,0.28,4.0,640.7,63.3,0,0
1761978725.463110513Z,sender,12.00,0.94,NaN,NaN,4.1,640.7,63.3,0,0
1761978725.713487914Z,receiver,16.00,1.24,0.15,0.28,5.1,640.7,63.3,0,0
1761978725.713589081Z,sender,16.00,1.24,NaN,NaN,5.1,640.7,63.3,0,0
1761978725.963867797Z,receiver,16.00,1.26,0.15,0.28,7.0,640.7,63.9,0,0
1761978725.964046075Z,sender,16.00,1.26,NaN,NaN,7.0,640.7,63.9,0,0
1761978726.214611959Z,receiver,16.00,1.26,0.15,0.28,4.1,637.4,63.9,0,0
1761978726.214779737Z,sender,16.00,1.26,NaN,NaN,4.1,637.4,63.9,0,0
1761978726.465180231Z,receiver,12.00,0.98,0.15,0.28,4.0,638.6,63.9,0,0
1761978726.465279028Z,sender,12.00,0.98,NaN,NaN,4.0,638.6,63.9,0,0
1761978726.715712911Z,receiver,16.00,1.41,0.15,0.28,7.9,639.3,63.3,0,0
1761978726.715817448Z,sender,16.00,1.41,NaN,NaN,7.9,639.3,63.3,0,0
1761978726.966252257Z,receiver,16.00,1.53,0.15,0.28,8.8,639.8,62.8,0,0
1761978726.966339924Z,sender,16.00,1.53,NaN,NaN,8.8,639.8,62.8,0,0
1761978727.216789862Z,receiver,16.00,1.24,0.15,0.28,7.1,638.6,63.3,0,0
1761978727.216887937Z,sender,16.00,1.24,NaN,NaN,7.1,638.6,63.3,0,0
1761978727.467337135Z,receiver,12.00,1.01,0.15,0.28,5.9,638.6,63.3,0,0
1761978727.467435579Z,sender,12.00,1.01,NaN,NaN,5.9,638.6,63.3,0,0
1761978727.717722462Z,receiver,16.00,1.36,0.15,0.28,6.1,638.4,63.3,0,0
1761978727.717889036Z,sender,16.00,1.36,NaN,NaN,6.1,638.4,63.3,0,0
1761978727.968333994Z,receiver,16.00,1.26,0.16,0.28,7.0,638.8,63.3,0,0
1761978727.968389290Z,sender,16.00,1.26,NaN,NaN,7.0,638.8,63.3,0,0
1761978728.229164021Z,receiver,16.00,1.25,0.16,0.28,5.8,636.3,62.8,0,0
1761978728.229251855Z,sender,16.00,1.25,NaN,NaN,5.8,636.3,62.8,0,0
1761978728.479732645Z,receiver,16.00,1.32,0.16,0.28,5.1,636.8,63.9,0,0
1761978728.479941776Z,sender,16.00,1.32,NaN,NaN,5.1,636.8,63.9,0,0
1761978728.730442863Z,receiver,12.00,0.90,0.16,0.28,5.1,637.2,63.3,0,0
1761978728.730535511Z,sender,12.00,0.90,NaN,NaN,5.1,637.2,63.3,0,0
1761978728.981030580Z,sender,16.00,1.33,NaN,NaN,6.1,637.2,63.9,0,0
1761978728.981352710Z,receiver,16.00,1.33,0.16,0.28,6.1,637.2,64.4,0,0
1761978729.231387981Z,sender,16.00,1.26,NaN,NaN,7.0,634.1,63.9,0,0
1761978729.231763464Z,receiver,16.00,1.26,0.16,0.28,7.0,634.1,63.9,0,0
1761978729.482085365Z,sender,16.00,1.27,NaN,NaN,7.8,634.8,64.4,0,0
1761978729.482337366Z,receiver,16.00,1.27,0.16,0.28,7.8,634.8,64.4,0,0
1761978729.732594507Z,sender,12.00,0.91,NaN,NaN,3.1,634.8,62.8,0,0
1761978729.732734378Z,receiver,12.00,0.91,0.16,0.28,3.1,634.8,62.8,0,0
1761978729.983084150Z,sender,16.00,1.29,NaN,NaN,8.8,635.5,63.9,0,0
1761978729.983225687Z,receiver,16.00,1.29,0.16,0.28,8.8,635.5,63.9,0,0
1761978730.233561163Z,sender,16.00,1.29,NaN,NaN,7.0,634.3,63.9,0,0
1761978730.233727608Z,receiver,16.00,1.29,0.16,0.28,7.0,634.3,63.9,0,0
1761978730.484084990Z,receiver,16.00,1.28,0.16,0.28,6.1,634.5,64.4,0,0
1761978730.484185361Z,sender,16.00,1.28,NaN,NaN,6.1,634.5,64.4,0,0
1761978730.734588077Z,receiver,12.00,0.97,0.16,0.28,5.9,635.2,64.4,0,0
1761978730.734688022Z,sender,12.00,0.97,NaN,NaN,5.9,635.2,64.4,0,0
1761978730.985110424Z,receiver,16.00,1.31,0.16,0.28,6.1,635.9,64.4,0,0
1761978730.985227221Z,sender,16.00,1.31,NaN,NaN,6.1,635.9,64.4,0,0
1761978731.235594678Z,receiver,16.00,1.36,0.16,0.28,4.1,635.2,63.9,0,0
1761978731.235763382Z,sender,16.00,1.36,NaN,NaN,4.1,635.2,63.9,0,0
1761978731.486020338Z,receiver,16.00,1.20,0.16,0.28,8.8,634.3,63.3,0,0
1761978731.486229987Z,sender,16.00,1.20,NaN,NaN,8.8,634.3,63.3,0,0
1761978731.736694722Z,receiver,12.00,0.91,0.16,0.28,4.0,634.3,64.4,0,0
1761978731.736924279Z,sender,12.00,0.91,NaN,NaN,4.0,634.3,64.4,0,0
1761978731.987174976Z,receiver,16.00,1.26,0.16,0.28,7.0,634.3,63.3,0,0
1761978731.987389495Z,sender,16.00,1.26,NaN,NaN,7.0,634.3,63.3,0,0
1761978732.237605544Z,receiver,16.00,1.32,0.16,0.28,7.0,633.8,64.4,0,0
1761978732.237811841Z,sender,16.00,1.32,NaN,NaN,7.0,633.8,64.4,0,0
1761978732.488038631Z,receiver,16.00,1.47,0.16,0.28,7.1,634.2,63.9,0,0
1761978732.488259354Z,sender,16.00,1.47,NaN,NaN,7.1,634.2,63.9,0,0
1761978732.738532107Z,receiver,12.00,1.12,0.16,0.28,5.1,634.7,63.9,0,0
1761978732.738774386Z,sender,12.00,1.12,NaN,NaN,5.1,634.7,63.9,0,0
1761978732.988935731Z,receiver,16.00,0.91,0.16,0.28,6.0,634.5,64.4,0,0
1761978732.989073009Z,sender,16.00,0.91,NaN,NaN,6.0,634.5,64.4,0,0
1761978733.239363262Z,receiver,16.00,1.25,0.16,0.28,7.0,632.5,63.3,0,0
1761978733.242687514Z,sender,16.00,1.25,NaN,NaN,6.9,632.5,63.3,0,0
1761978733.489784201Z,receiver,16.00,1.15,0.16,0.28,6.1,633.7,63.9,0,0
1761978733.492991749Z,sender,16.00,1.15,NaN,NaN,6.0,633.7,62.8,0,0
1761978733.740980754Z,receiver,12.00,0.95,0.16,0.28,5.9,633.9,64.4,0,0
1761978733.743810152Z,sender,16.00,1.32,NaN,NaN,7.9,633.9,64.4,0,0
1761978733.991353044Z,receiver,16.00,1.37,0.16,0.28,7.0,634.2,64.4,0,0
1761978733.994128738Z,sender,12.00,1.00,NaN,NaN,5.1,634.2,64.4,0,0
1761978734.241916891Z,receiver,16.00,1.36,0.16,0.28,6.1,632.6,65.0,0,0
1761978734.244500047Z,sender,16.00,1.36,NaN,NaN,6.1,632.6,65.0,0,0
1761978734.492352126Z,receiver,16.00,1.25,0.16,0.28,7.9,633.0,64.4,0,0
1761978734.494810115Z,sender,16.00,1.25,NaN,NaN,7.9,633.0,64.4,0,0
1761978734.743412937Z,receiver,16.00,1.29,0.16,0.29,6.9,633.7,64.4,0,0
1761978734.745145461Z,sender,16.00,1.29,NaN,NaN,7.9,633.7,64.4,0,0
1761978734.993792005Z,receiver,12.00,0.86,0.16,0.29,4.0,633.7,64.4,0,0
1761978734.995443807Z,sender,12.00,0.86,NaN,NaN,3.1,633.7,63.9,0,0
1761978735.244356037Z,receiver,16.00,1.26,0.16,0.30,7.1,633.2,64.4,0,0
1761978735.245736690Z,sender,16.00,1.26,NaN,NaN,7.0,633.2,64.4,0,0
1761978735.494762698Z,receiver,16.00,1.30,0.16,0.29,7.9,633.0,64.4,0,0
1761978735.496008091Z,sender,16.00,1.30,NaN,NaN,7.9,632.8,64.4,0,0
1761978735.745205396Z,receiver,16.00,1.39,0.16,0.29,6.1,632.8,64.4,0,0
1761978735.746405697Z,sender,16.00,1.39,NaN,NaN,6.1,632.8,64.4,0,0
1761978735.995600872Z,receiver,12.00,1.08,0.16,0.29,6.0,633.0,65.0,0,0
1761978735.996693265Z,sender,12.00,1.08,NaN,NaN,6.9,633.0,65.0,0,0
1761978736.245960829Z,receiver,16.00,1.38,0.16,0.29,7.0,631.1,64.4,0,0
1761978736.246962999Z,sender,16.00,1.38,NaN,NaN,6.1,631.1,64.4,0,0
1761978736.496318342Z,receiver,16.00,1.27,0.16,0.29,6.1,631.1,63.9,0,0
1761978736.497236530Z,sender,16.00,1.27,NaN,NaN,6.1,631.1,64.4,0,0
1761978736.746872948Z,receiver,16.00,1.22,0.16,0.28,6.1,632.0,64.4,0,0
1761978736.747612951Z,sender,16.00,1.22,NaN,NaN,6.1,632.0,64.4,0,0
1761978736.997286165Z,receiver,12.00,0.89,0.16,0.28,5.0,631.6,65.0,0,0
1761978736.997899056Z,sender,12.00,0.89,NaN,NaN,5.0,631.6,65.0,0,0
1761978737.247654455Z,receiver,16.00,1.13,0.16,0.28,7.0,629.6,65.0,0,0
1761978737.248169809Z,sender,16.00,1.13,NaN,NaN,7.0,629.6,65.0,0,0
1761978737.498045135Z,receiver,16.00,1.24,0.16,0.28,7.0,629.8,64.4,0,0
1761978737.498455507Z,sender,16.00,1.24,NaN,NaN,7.0,629.8,64.4,0,0
1761978737.748626019Z,receiver,16.00,1.34,0.16,0.29,7.0,630.7,65.0,0,0
1761978737.748871390Z,sender,16.00,1.34,NaN,NaN,7.0,630.7,65.0,0,0
1761978737.999047884Z,receiver,12.00,1.04,0.16,0.28,5.9,630.7,64.4,0,0
1761978737.999211014Z,sender,12.00,1.04,NaN,NaN,5.9,630.7,64.4,0,0
1761978738.249426878Z,receiver,16.00,1.55,0.16,0.29,8.9,630.4,65.0,0,0
1761978738.249569619Z,sender,16.00,1.55,NaN,NaN,8.9,630.4,65.0,0,0
1761978738.499908243Z,receiver,16.00,1.27,0.16,0.30,8.8,630.9,64.4,0,0
