ts,role,fps,goodput_mbps,latency_ms_p50,latency_ms_p95,cpu_pct,mem_mb,temp_c,drops,tag_fail
1761982488.279744893Z,receiver,16.00,1.25,4.73,5.19,5.1,644.7,71.6,0,0
1761982488.280129450Z,sender,12.00,1.00,NaN,NaN,5.1,644.7,71.6,0,0
1761982488.530111751Z,receiver,16.00,1.39,4.73,5.21,8.0,644.5,72.2,0,0
1761982488.530494104Z,sender,16.00,1.39,NaN,NaN,8.0,644.5,72.2,0,0
1761982488.780477035Z,receiver,16.00,1.10,4.73,5.21,7.0,644.9,72.7,0,0
1761982488.780839518Z,sender,16.00,1.10,NaN,NaN,7.0,644.9,72.7,0,0
1761982489.031147412Z,receiver,16.00,1.35,4.74,5.21,7.9,645.4,70.5,0,0
1761982489.031216265Z,sender,16.00,1.35,NaN,NaN,7.9,645.4,70.5,0,0
1761982489.281594215Z,sender,12.00,1.04,NaN,NaN,6.0,642.5,72.2,0,0
1761982489.281601660Z,receiver,12.00,1.04,4.74,5.21,6.0,642.5,72.2,0,0
1761982489.531971110Z,receiver,16.00,1.18,4.74,5.21,6.0,642.5,72.2,0,0
1761982489.532028981Z,sender,16.00,1.18,NaN,NaN,6.0,642.5,72.2,0,0
1761982489.782351672Z,receiver,16.00,1.32,4.74,5.19,6.1,642.5,72.2,0,0
1761982489.782407135Z,sender,16.00,1.32,NaN,NaN,6.1,642.5,72.2,0,0
1761982490.032969456Z,sender,16.00,1.31,NaN,NaN,5.1,644.2,72.2,0,0
1761982490.033081605Z,receiver,16.00,1.31,4.74,5.21,5.1,644.2,72.2,0,0
1761982490.283422574Z,sender,12.00,0.97,NaN,NaN,6.0,643.3,71.6,0,0
1761982490.283542723Z,receiver,12.00,0.97,4.75,5.23,6.0,643.3,71.6,0,0
1761982490.533847321Z,sender,16.00,1.32,NaN,NaN,7.0,643.3,72.2,0,0
1761982490.533958895Z,receiver,16.00,1.32,4.75,5.24,7.0,643.3,72.2,0,0
1761982490.784319050Z,sender,16.00,1.13,NaN,NaN,8.8,643.1,71.6,0,0
1761982490.784385142Z,receiver,16.00,1.13,4.75,5.24,8.8,643.1,71.6,0,0
1761982491.034987520Z,receiver,16.00,1.34,4.75,5.24,8.0,643.1,71.6,0,0
1761982491.035218539Z,sender,16.00,1.34,NaN,NaN,8.0,643.1,71.6,0,0
1761982491.285464619Z,receiver,12.00,1.03,4.75,5.23,5.0,642.1,71.6,0,0
1761982491.285575212Z,sender,12.00,1.03,NaN,NaN,5.0,642.1,71.6,0,0
1761982491.535878662Z,receiver,16.00,1.27,4.75,5.23,7.0,641.9,72.2,0,0
1761982491.535931681Z,sender,16.00,1.27,NaN,NaN,7.0,641.9,72.2,0,0
1761982491.786315501Z,sender,16.00,1.28,NaN,NaN,7.1,641.6,72.2,0,0
1761982491.786379317Z,receiver,16.00,1.28,4.76,5.23,7.1,641.6,72.2,0,0
1761982492.036761045Z,sender,16.00,1.25,NaN,NaN,5.1,641.9,71.1,0,0
