timestamp,count,mean_ms,p50_ms,p95_ms
2025-11-02T02:47:44.852300712Z,305,3.612033986885244,3.393061,4.9197596
2025-11-02T02:47:46.069038282Z,76,3.9223794473684204,3.5058749999999996,5.38083325
2025-11-02T02:47:50.404449420Z,270,3.424273933333333,3.4147265,4.8320409
2025-11-02T02:47:51.619658439Z,76,3.705067052631579,3.402377,4.81669425
2025-11-02T02:47:55.941663023Z,270,3.524741855555553,3.4196245000000003,4.637386799999998
2025-11-02T02:47:57.159287496Z,75,3.669050413333333,3.401674,5.2136336
2025-11-02T02:48:01.492478030Z,271,3.536803804428045,3.426632,4.6869375
2025-11-02T02:48:02.709219656Z,76,3.281212750000001,3.4012260000000003,3.86852975
2025-11-02T02:48:07.048463240Z,271,3.3880569815498145,3.384306,4.323207
2025-11-02T02:48:08.264372112Z,76,3.490355592105263,3.4210835,4.39864425
2025-11-02T02:48:12.606005168Z,271,3.4636279003690045,3.413029,4.6790045
2025-11-02T02:48:13.829241132Z,76,3.7179168157894726,3.5523325,5.38458825
2025-11-02T02:48:18.144976760Z,269,3.427135118959108,3.420936,4.2778398
2025-11-02T02:48:19.385805890Z,77,3.991416935064933,3.426195,5.665045200000001
2025-11-02T02:48:23.675373367Z,269,3.5872873457249077,3.402862,4.914170199999999
2025-11-02T02:48:24.936145369Z,78,4.006253448717948,3.4562305,5.327137949999998
2025-11-02T02:48:29.212114530Z,267,3.4553314382022484,3.432586,4.726029099999997
2025-11-02T02:48:30.490928105Z,80,3.357218024999999,3.3993919999999997,4.47977225
2025-11-02T02:48:34.766772196Z,267,3.5373484681647938,3.484232,5.2756028
2025-11-02T02:48:36.043672699Z,79,4.066789734177217,3.425041,5.233746399999999
2025-11-02T02:48:40.313965394Z,268,3.4445932014925376,3.4605475,4.715466249999999
2025-11-02T02:48:41.592736537Z,79,3.457072987341772,3.474576,4.8161658
2025-11-02T02:48:45.865161553Z,267,3.4491996179775284,3.481124,4.980850999999998
2025-11-02T02:48:47.151079695Z,80,3.8312410624999997,3.5542735,5.496206999999997
2025-11-02T02:48:51.431320263Z,267,3.445707419475656,3.477409,4.7433426999999995
2025-11-02T02:48:52.695446616Z,79,3.503632139240508,3.50459,5.150136
2025-11-02T02:48:56.984433089Z,268,3.3908628171641775,3.442456,4.4837754999999975
2025-11-02T02:48:58.233737516Z,77,3.784567350649351,3.494488,4.6796831999999995
2025-11-02T02:49:02.528519853Z,269,3.384809691449815,3.477374,4.5612062
2025-11-02T02:49:03.783419535Z,78,4.065397730769233,3.5545985,5.843880649999999
2025-11-02T02:49:08.061049696Z,267,3.5164433295880166,3.550989,4.3985443
2025-11-02T02:49:09.327490682Z,79,3.4432659746835452,3.490755,4.943636899999998
2025-11-02T02:49:13.603183582Z,268,3.5224159664179098,3.49237,5.132833299999998
2025-11-02T02:49:14.876557919Z,79,3.3288154050632914,3.519439,4.0570819
2025-11-02T02:49:19.155968011Z,267,3.5691280786516852,3.554118,5.293658299999997
2025-11-02T02:49:20.437795460Z,80,3.4330107499999984,3.496349,5.0965019
2025-11-02T02:49:24.719977632Z,267,3.4795272546816483,3.523601,5.071362499999999
2025-11-02T02:49:25.983495631Z,79,3.380736379746836,3.504889,4.686860399999999
2025-11-02T02:49:30.280388143Z,268,3.6652128171641793,3.5697925,5.344506999999998
2025-11-02T02:49:31.542585737Z,79,3.67146011392405,3.575866,4.7068715999999995
2025-11-02T02:49:35.832330997Z,268,3.4379821231343275,3.540423,4.6197054
2025-11-02T02:49:37.102571852Z,79,3.4946006329113906,3.550946,5.616262299999999
2025-11-02T02:49:41.377790606Z,267,3.591684509363296,3.596863,4.8701493
