timestamp,cpu_usage_percent,total_memory_bytes,used_memory_bytes,temp_c
2025-11-02T02:47:44.843782143Z,32.021744,17415136083968,7031398334464,60.6
2025-11-02T02:47:46.063373032Z,27.948114,17415136083968,7035391311872,60.6
2025-11-02T02:47:50.395552461Z,23.57953,17415136083968,7024200908800,60.6
2025-11-02T02:47:51.610343109Z,24.148401,17415136083968,7031666769920,61.7
2025-11-02T02:47:55.930682765Z,27.333336,17415136083968,7022154088448,62.25
2025-11-02T02:47:57.151977762Z,21.785501,17415136083968,7033344491520,61.7
2025-11-02T02:48:01.485786704Z,31.463352,17415136083968,7024570007552,62.8
2025-11-02T02:48:02.703350313Z,19.573236,17415136083968,7037270360064,61.7
2025-11-02T02:48:07.038445687Z,24.970142,17415136083968,7034569228288,60.6
2025-11-02T02:48:08.255594561Z,26.297268,17415136083968,7027254362112,61.7
2025-11-02T02:48:12.599704454Z,25.791246,17415136083968,7034200129536,61.7
2025-11-02T02:48:13.819308338Z,30.037365,17415136083968,7031800987648,61.15
2025-11-02T02:48:18.138645620Z,20.435184,17415136083968,7045692522496,62.25
2025-11-02T02:48:19.376598578Z,26.079462,17415136083968,7043444375552,60.6
2025-11-02T02:48:23.669375209Z,20.528076,17415136083968,7035944960000,62.25
2025-11-02T02:48:24.927310984Z,21.842005,17415136083968,7028462321664,62.25
2025-11-02T02:48:29.204285351Z,16.581633,17415136083968,7027237584896,62.8
2025-11-02T02:48:30.480625255Z,20.059443,17415136083968,7024670670848,61.15
2025-11-02T02:48:34.758608349Z,25.415783,17415136083968,7028311326720,62.25
2025-11-02T02:48:36.038011079Z,21.735302,17415136083968,7024200908800,61.7
2025-11-02T02:48:40.306712197Z,25.164188,17415136083968,7029972271104,63.35
2025-11-02T02:48:41.585127691Z,31.103422,17415136083968,7026381946880,62.25
2025-11-02T02:48:45.856219075Z,22.79566,17415136083968,7029687058432,62.8
2025-11-02T02:48:47.142842144Z,28.772087,17415136083968,7021919207424,63.35
2025-11-02T02:48:51.416176812Z,31.846508,17415136083968,7024704225280,63.35
2025-11-02T02:48:52.687894881Z,25.201286,17415136083968,7042538405888,62.8
2025-11-02T02:48:56.976692447Z,29.88295,17415136083968,7025861853184,62.8
2025-11-02T02:48:58.228610970Z,25.821026,17415136083968,7037605904384,63.35
2025-11-02T02:49:02.519875394Z,23.363636,17415136083968,7036179841024,63.9
2025-11-02T02:49:03.772711147Z,33.112183,17415136083968,7035877851136,62.8
2025-11-02T02:49:08.055968614Z,20.771614,17415136083968,7042454519808,62.8
