Transmit Start Time (since epoch as ms),Throughput (bytes per second),Latency (ms),Frames per Second,CPU Usage (%),Memory Used (bytes)
1761980063000,1931.746,630,27.76,0.8409314,5515440128
1761980063000,1674.2081,663,27.76,0.84102935,5517963264
1761980063000,1387.3745,697,27.76,0.8410851,5519564800
1761980063000,1805.9702,737,27.76,0.8411596,5518630912
1761980063000,2258.7324,773,27.76,0.84121513,5518544896
1761980063000,2477.6675,806,27.76,0.8413065,5517623296
1761980063000,3026.9954,852,27.76,0.8413482,5518426112
1761980063000,2931.8955,881,27.76,0.8414043,5519601664
1761980063000,3205.6277,924,27.76,0.84142053,5520318464
1761980063000,3231.8992,953,27.76,0.8414927,5518221312
1761980063000,2984.879,992,27.76,0.8415383,5519228928
1761980063000,2594.9365,1027,27.76,0.84163284,5518008320
1761980063000,2515.0376,1064,27.76,0.84164935,5517668352
1761980063000,2436.7607,1099,27.76,0.8417439,5517070336
1761980063000,2408.6497,1133,27.76,0.84182227,5519650816
1761980063000,2147.9897,1169,28.58,0.84187126,5518450688
1761980063000,1770.3151,1206,28.58,0.8419105,5519708160
1761980063000,1694.5337,1244,28.58,0.84192705,5520883712
1761980063000,1460.6918,1272,28.58,0.841967,5519253504
1761980063000,1150.9578,1305,28.58,0.8420487,5518045184
1761980063000,935.1032,1356,28.58,0.8420964,5519003648
1761980063000,827.16046,1377,28.58,0.84215003,5517856768
1761980063000,666.1942,1411,28.58,0.8422348,5518368768
1761980064000,3782.0225,445,28.58,0.84224194,5517729792
1761980064000,4481.557,488,28.58,0.84229356,5517094912
1761980064000,4323.6997,519,28.58,0.8423593,5525467136
1761980064000,4401.447,553,28.58,0.8424019,5526519808
1761980064000,4864.8647,592,28.58,0.84246695,5526183936
1761980064000,4666.6665,627,28.58,0.8425679,5519294464
1761980064000,3802.4133,663,28.58,0.8425878,5523111936
1761980064000,3612.6255,697,28.33,0.8425949,5520596992
1761980064000,3313.2693,731,28.33,0.8426701,5519429632
1761980064000,3740.5476,767,28.33,0.8427029,5517590528
1761980064000,3720.4968,805,28.33,0.84276146,5517197312
1761980064000,3727.056,839,28.33,0.8428009,5518180352
1761980064000,3226.3938,879,28.33,0.8428496,5518639104
1761980064000,3273.0261,912,28.33,0.84289247,5517770752
