ts,Vsend,Asend,Wsend,Vreceive,Areceive,Wreceive
0,5.07144,0.63088,3.19944,5.10875,0.61198,3.12643
5,5.07463,0.60655,3.07803,5.10787,0.62702,3.2095
10,5.06319,0.6606,3.34259,5.10875,0.5952,3.04992
15,5.075,0.60277,3.05908,5.10875,0.58363,2.98159
20,5.02475,0.86895,4.34555,5.10737,0.73322,3.74476
25,5.01583,0.90598,4.54426,5.10687,0.72787,3.71716
30,5.01475,0.91155,4.57497,5.10675,0.7307,3.72082
35,5.01556,0.90522,4.54033,5.10625,0.77358,3.93985
40,5.017,0.8998,4.51624,5.10625,0.7389,3.77607
45,5.01681,0.90673,4.54725,5.10625,0.74117,3.78462
50,5.01444,0.91025,4.56289,5.10625,0.77652,3.93858
55,5.02983,0.84075,4.22881,5.10831,0.64535,3.31193
60,5.04225,0.78405,3.95298,5.10812,0.62925,3.21735
65,5.03531,0.81463,4.10189,5.10875,0.62665,3.2014
70,5.04462,0.7734,3.89323,5.10812,0.65667,3.35438
75,5.045,0.77133,3.89896,5.10869,0.629,3.21336
80,5.03419,0.82293,4.14804,5.10875,0.60145,3.07266
85,5.04312,0.77518,3.90992,5.10875,0.59273,3.02808
